density_group_id,species_id,species_label,min_value,max_value,range_value,is_constant_within_group
11,22,OH^,7.202e-14,7.202e-14,0.0,True
11,23,OH-,6.613e-07,6.613e-07,0.0,True
11,24,H2O,0.0199,0.0199,0.0,True
11,25,H2OV,4.475e-05,4.475e-05,0.0,True
11,26,H2O^,2.251e-09,2.251e-09,0.0,True
11,27,HO2,1.893e-11,1.893e-11,0.0,True
11,28,H2O2,4.614e-08,4.614e-08,0.0,True
11,29,H3O^,8.681e-07,8.681e-07,0.0,True
11,30,O2,9.28e-11,9.28e-11,0.0,True
11,31,O2^,3.08e-14,3.08e-14,0.0,True
11,32,O2-,3.185e-16,3.185e-16,0.0,True
11,33,O,1.027e-07,1.027e-07,0.0,True
11,34,O^,9.303e-17,9.303e-17,0.0,True
11,35,O-,1.022e-07,1.022e-07,0.0,True
11,36,HV_096,0.0,0.0,0.0,True
11,37,HV_106,0.0,0.0,0.0,True
11,38,HV_126,0.0,0.0,0.0,True
11,39,ONE,0.0,0.0,0.0,True
11,40,TE,0.0,0.0,0.0,True
11,41,TGAS,0.0,0.0,0.0,True
11,42,EB,0.0,0.0,0.0,True
11,43,POS,0.0,0.0,0.0,True
11,44,POSITION,0.0,0.0,0.0,True
11,45,SPEED,0.0,0.0,0.0,True
11,46,EDEP,0.0,0.0,0.0,True
11,47,PDEP,0.0,0.0,0.0,True
11,48,M,0.0,0.0,0.0,True
11,49,MIS,0.0,0.0,0.0,True
12,1,E,8.634e-08,8.634e-08,0.0,True
12,2,AR3S,0.98,0.98,0.0,True
12,3,AR4SM,2.624e-07,2.624e-07,0.0,True
12,4,AR4SR,5.071e-07,5.071e-07,0.0,True
